text,section,header,div,p,s,id,match_test,has_F,match_es,has_es
"We also found tentative support for the predicted two-way interaction between valence and identifiability, F(1, 167) = 3.25, p = .073 (see Fig. 3a).",results,Results,7,1,4,0956797617737129,"F(1, 167) = 3.25",TRUE,,FALSE
"Here, the interaction between valence and identifiability was significant, F(1, 467) = 4.38, p = .037, η p 2 = .009.",results,Results,7,2,2,0956797617737129,"F(1, 467) = 4.38",TRUE,η p 2 = .009,TRUE
"We found the expected main effect of valence, F(1, 282) = 64.61, p < .0001, η p 2 = .18; no main effect of person, F(1, 282) = .003, p = .95; and the predicted interaction effect between valence and likability, F(1, 282) = 50.73, p < .001, η p 2 = .15.",results,Results,10,1,1,0956797617737129,"F(1, 282) = 64.61; F(1, 282) = .003; F(1, 282) = 50.73",TRUE,η p 2 = .18; η p 2 = .15,TRUE
"Consistent with Studies 2a and 2b, likability reduced updating from bad news, F(1, 283) = 36.52, p < .001.",results,Results,10,1,4,0956797617737129,"F(1, 283) = 36.52",TRUE,,FALSE
"In addition, likability increased updating from good news, F(1, 283) = 48.14, p < .001.",results,Results,10,1,5,0956797617737129,"F(1, 283) = 48.14",TRUE,,FALSE
"Again, participants' beliefs about themselves were more resistant to new information than their beliefs about others-main effect of target, F(1, 74) = 45.89, p < .001, η p 2 = .38.",results,Results,13,1,1,0956797617737129,"F(1, 74) = 45.89",TRUE,η p 2 = .38,TRUE
"However, people showed optimism for both themselves and strangers-main effect of valence, F(1, 74) = 12.75, p = .001, η p 2 = .15-with learning rates for good news (M = 0.67, SE = 0.03) being stronger than for bad news (M = 0.54, SE = 0.03).",results,Results,13,1,2,0956797617737129,"F(1, 74) = 12.75",TRUE,η p 2 = .15,TRUE
"The participants in the escalation-as-action condition recorded the highest anticipated joy rating for successful escalation (M = 90.72, SD = 14.47), whereas those in the de-escalationas-action condition recorded the lowest (M = 80.09, SD = 24.21), t(150) = 122.51, p = .001, mean difference = 10.63, 95% CI = [4.24, 17.02], d = 0.54, with the participants in the ambiguous condition falling somewhere in between (M = 83.66, SD = 23.30), overall: F(2, 226) = 4.98, p = .008.",results,Results,21,2,4,0956797617739368,"F(2, 226) = 4.98",TRUE,,FALSE
"We found a significant main effect of rearing, F(2, 37) = 3.845, p = .030, η p 2 = .172, and a significant two-way interaction between rearing and SBM region, F(14, 259) = 2.199, p = .008, η p 2 = .106.",results,Sex and rearing effects,9,1,3,0956797617740685,"F(2, 37) = 3.845; F(14, 259) = 2.199",TRUE,η p 2 = .172; η p 2 = .106,TRUE
"This analysis revealed a significant rearing effect only for Component 3, F(2, 37) = 8.300, p = .001, η p 2 = .310 (see Figs. 1 and 2a).",results,Sex and rearing effects,9,1,8,0956797617740685,"F(2, 37) = 8.300",TRUE,η p 2 = .310,TRUE
"No other rearing effects were significant in the remaining seven components; however, there were nonsignificant trends for Component 1, F(2, 37) = 2.494, p = .096, η p 2 = .119, and Component 6, F(2, 37) = 3.207, p = .052, η p 2 = .148.",results,Sex and rearing effects,9,1,10,0956797617740685,"F(2, 37) = 2.494; F(2, 37) = 3.207",TRUE,η p 2 = .119; η p 2 = .148,TRUE
"Not surprisingly, this analysis revealed an overall effect of rearing, F(2, 37) = 10.606, p = .001, η p 2 = .364.",results,Sex and rearing effects,9,2,4,0956797617740685,"F(2, 37) = 10.606",TRUE,η p 2 = .364,TRUE
"In other words, results point toward the presence of a clear advantage for stimuli appearing in PPS, whereas the proprioceptive information coming from the hands exerted no main or modulatory effects.Results were confirmed by a two-way analysis of variance, which yielded a main effect of distance, F(1, 19) = 27.34, p < .001, η p 2 = .59, but no effects of hand position, F(1, 19) = 0.54, p = .47, η p 2 = .028.",fig,,2,,3,0956797618795679,"F(1, 19) = 27.34; F(1, 19) = 0.54",TRUE,η p 2 = .59; η p 2 = .028,TRUE
"The interaction between the two was not significant, F(1, 19) = 0.03, p = .858, η p 2 = .002.",fig,,2,,4,0956797618795679,"F(1, 19) = 0.03",TRUE,η p 2 = .002,TRUE
"A repeated measures ANOVA on the illusion magnitude showed a significant effect of condition, F(2, 18) = 12.18, p < .001, η 2 = .575, no effect of object mass, and no interaction effects.",results,Results,7,1,4,0956797619837981,"F(2, 18) = 12.18",TRUE,η 2 = .575,TRUE
"This analysis yielded a statistically significant main effect of cost asymmetry, F(3, 69) = 4.83, p = .004, η 2 = .17.",results,Results,4,2,2,0956797619842550,"F(3, 69) = 4.83",TRUE,η 2 = .17,TRUE
"We found that the participants chose the coefficient paths more often in incongruent than in congruent trials-main effect of condition, F(1, 23) = 17.13, p < .001, η 2 = .43 (see Fig. 3b).",results,Results,8,3,2,0956797619842550,"F(1, 23) = 17.13",TRUE,η 2 = .43,TRUE
"The participants chose coefficient paths more frequently in trials with layouts with shorter barriers than in ones with longer barriers, as suggested by a statistically significant main effect of cost asymmetry, F(3, 69) = 6.30, p < .001, η 2 = .22.",results,Results,8,3,3,0956797619842550,"F(3, 69) = 6.30",TRUE,η 2 = .22,TRUE
"Furthermore, we found a statistically significant Cost Asymmetry × Condition interaction, F(3, 69) = 7.48, p < .001, η 2 = .25.",results,Results,8,3,4,0956797619842550,"F(3, 69) = 7.48",TRUE,η 2 = .25,TRUE
"Neither the main effect of condition, F(1, 23) = 3.46, p = .076, η 2 = .13, nor the interaction between cost asymmetry and condition was statistically significant, F(3, 69) = 1.48, p = .227, η 2 = .06.",fig,,1,,2,0956797619842550,"F(1, 23) = 3.46; F(3, 69) = 1.48",TRUE,η 2 = .13; η 2 = .06,TRUE
"At the behavioral level, the typical approach-avoidance congruency effects were observed, reflecting emotional action control during incongruent responses: a significant Movement (approach, avoid) × Valence (happy, angry) interaction for RTs indicated that participants were slower to respond during incongruent trials compared with congruent trials, F(1, 269) = 57.189, p < .001, η p 2 = .175 (Fig. 1b).",results,Results,15,1,3,0956797619851753,"F(1, 269) = 57.189",TRUE,η p 2 = .175,TRUE
"Moreover, participants made more errors during incongruent trials compared with congruent trials, indicated by a significant movement-by-valence interaction for error rates, F(1, 269) = 22.365, p < .001, η p 2 = .077 (Fig. 1c; see also Supplementary Behavioral Results in the Supplemental Material).",results,Results,15,1,4,0956797619851753,"F(1, 269) = 22.365",TRUE,η p 2 = .077,TRUE
"We found a significant main effect of outcome, F(1, 37) = 6.72, p = .014, η p 2 = .154, but no main effect of frequency, F(1, 37) = 0.03, p = .858, η p 2 = .001.",results,Results,11,2,2,0956797619876260,"F(1, 37) = 6.72; F(1, 37) = 0.03",TRUE,η p 2 = .154; η p 2 = .001,TRUE
"Furthermore, there was a trend for a Frequency × Outcome interaction, F(1, 37) = 3.37, p = .075, η p 2 = .083, in the expected direction (one-sided p = .037; see the preregistration at <https://aspredicted.org/ve2qn.pdf> ).",results,Results,11,2,3,0956797619876260,"F(1, 37) = 3.37",TRUE,η p 2 = .083,TRUE
"(Ms = 5.578 and 7.345 for job-contract settings and employment-wage settings, respectively), F(1, 268) = 16.127, p < .001, η p 2 = .057.",results,Job Contract,5,2,1,0956797620916521,"F(1, 268) = 16.127",TRUE,η p 2 = .057,TRUE
"The effect of transaction frame did not significantly interact with ownership status, F(1, 268) = 0.67, p = .796, η p 2 = .000.",results,Job Contract,5,2,2,0956797620916521,"F(1, 268) = 0.67",TRUE,η p 2 = .000,TRUE
"The main effect of price rate (the fixed monetary payoff per completed questionnaire) was significant: Participants valued the work of completing a questionnaire more highly when the payoff per completed questionnaire was 20 NIS than when it was 10 NIS (Ms = 8.041 and 4.743, respectively), F(1, 268) = 53.346, p < .001, η p 2 = .166.",results,Job Contract,5,2,3,0956797620916521,"F(1, 268) = 53.346",TRUE,η p 2 = .166,TRUE
"1 The three-way interaction of price rate, transaction frame, and ownership status was also significant, F(1, 268) = 5.109, p = .025, η p 2 = .019.",results,Job Contract,5,2,4,0956797620916521,"F(1, 268) = 5.109",TRUE,η p 2 = .019,TRUE
"The main effect of workload was not significant, F(1, 268) = 1.027, p = .312, η p 2 = .004.",results,Job Contract,5,3,1,0956797620916521,"F(1, 268) = 1.027",TRUE,η p 2 = .004,TRUE
"Notwithstanding the lack of overall effect, workload significantly interacted with transaction frame, F(1, 268) = 12.748, p < .01, η p 2 = .045.",results,Job Contract,5,3,3,0956797620916521,"F(1, 268) = 12.748",TRUE,η p 2 = .045,TRUE
"For the low-workload condition, the effect of transaction frame was not significant, but for the high-workload condition, work was evaluated more highly in the employment-wage setting than in the job-contract setting (Ms = 7.897 and 3.391, respectively), F(1, 268) = 6.053, p = .015, η p 2 = .022.",results,Job Contract,5,3,4,0956797620916521,"F(1, 268) = 6.053",TRUE,η p 2 = .022,TRUE
"The effect of transaction frame was significant, indicating that work was valued less highly in the job-contract setting than in the employmentwage setting (Ms = 47.80 and 65.63, respectively), F(1, 415) = 9.231, p = .003, η p 2 = .022.",results,Results,8,2,3,0956797620916521,"F(1, 415) = 9.231",TRUE,η p 2 = .022,TRUE
"The interaction between transaction frame and ownership status was not significant, F(1, 415) = 1.041, p = .308, η p 2 = .003.",results,Results,8,2,4,0956797620916521,"F(1, 415) = 1.041",TRUE,η p 2 = .003,TRUE
"The effect of ownership status was significant, indicating that participants who received the questionnaire (i.e., labor buyers in the employment-wage setting) or the questionnaire link (i.e., contract sellers in the job-contract setting) assigned lower value to performing the work than participants who did not receive the questionnaire (Ms = 38.73 and 74.15,respectively), F(1, 415) = 38.16, p < .001, η p 2 = .084.",results,Results,8,2,6,0956797620916521,"F(1, 415) = 38.16",TRUE,η p 2 = .084,TRUE
"with transaction frame and ownership status as predictors did not yield any significant resultstransaction frame: F(1, 400) = 2.087, p = .149, η p 2 = .005; ownership status: F(1, 400) = 0.914, p = .340, η p 2 = .002; and their interaction: F(1, 400) = 2.240, p = .135, η p 2 = .006.",results,Results,8,3,5,0956797620916521,"F(1, 400) = 2.087; F(1, 400) = 0.914; F(1, 400) = 2.240",TRUE,η p 2 = .005; η p 2 = .002; η p 2 = .006,TRUE
"Work was valued significantly less highly in the job-contract setting than in the employment-wage setting (Ms = 58.90 and 73.64, respectively), F(1, 212) = 5.147, p = .024, η p 2 = .024.",results,Experiment 3a,10,4,7,0956797620916521,"F(1, 212) = 5.147",TRUE,η p 2 = .024,TRUE
"The effect of valuation order and the interaction between valuation order and transaction frame were not significant, F(1, 212) = 1.130, p = .289; and F(1, 212) = 0.524, p = .470, respectively.",results,Experiment 3a,10,4,8,0956797620916521,"F(1, 212) = 1.130; F(1, 212) = 0.524",TRUE,,FALSE
"A repeated measures ANOVA on the two questions concerning thoughts about money and labor with transaction frame as the predictor did not yield any significant effect either-transaction frame: F(1, 212) = 0.004, p = .952, η p 2 = .000; question: F(1, 212) = 1.023, p = .313, η p 2 = .005; and their interaction: F(1, 212) = 1.259, p = .263, η p 2 = .004, respectively.",results,Experiment 3a,10,5,5,0956797620916521,"F(1, 212) = 0.004; F(1, 212) = 1.023; F(1, 212) = 1.259",TRUE,η p 2 = .000; η p 2 = .005; η p 2 = .004,TRUE
"There was a significant effect of transaction frame, indicating that work was valued less highly in the job-contract setting than in the employment-wage setting (Ms = 41.16 and 61.33, respectively), F(1, 180) = 8.734, p = .004, η p 2 = .046.",results,Experiment 3b,11,3,2,0956797620916521,"F(1, 180) = 8.734",TRUE,η p 2 = .046,TRUE
"The effect of valuation order and the interaction between valuation order and transaction frame were not significant, F(1, 180) = 0.166, p = .684, η p 2 = .001; and F(1, 180) = 2.381, p = .125, η p 2 = .013, respectively.",results,Experiment 3b,11,3,3,0956797620916521,"F(1, 180) = 0.166; F(1, 180) = 2.381",TRUE,η p 2 = .001; η p 2 = .013,TRUE
"A repeated measures ANOVA on the two questions concerning thoughts about money and labor with transaction frame as the predictor did not yield any significant effect either-transaction frame: F(1, 180) = 0.902, p = .344, η p 2 = .005; question: F(1, 180) = 7.168, p = .008, η p 2 = .038; and their interaction: F(1, 180) = 0.734, p = .393, η p 2 = .004.",results,Experiment 3b,11,3,7,0956797620916521,"F(1, 180) = 0.902; F(1, 180) = 7.168; F(1, 180) = 0.734",TRUE,η p 2 = .005; η p 2 = .038; η p 2 = .004,TRUE
"A 6 (age) × 2 (attention) × 2 (depth of processing) mixed ANOVA revealed a significant main effect of attention on priming, F(1, 1039) = 172.02, p < .001, η p 2 = .142, and a significant interaction between attention and age, F(5, 1039) = 3.84, p = .002, η p 2 = .018.",results,Priming,11,1,3,0956797620927648,"F(1, 1039) = 172.02; F(5, 1039) = 3.84",TRUE,η p 2 = .142; η p 2 = .018,TRUE
"Given no main effect of depth of processing, F(1, 1039) = 0.25, p = .616, η p 2 < .001, the deep and shallow conditions were collapsed.",results,Priming,11,1,7,0956797620927648,"F(1, 1039) = 0.25",TRUE,η p 2 < .001,TRUE
"This revealed a significant main effect of age, F(5, 1045) = 3.59, p = .003, η p 2 = .017.",results,Priming,11,1,8,0956797620927648,"F(5, 1045) = 3.59",TRUE,η p 2 = .017,TRUE
"Confirming these findings, multiple regression with age as a continuous variable revealed a significant linear decline in priming for attended items with age, F(1, 1049) = 7.82, p = .005, r = -.086.",results,Priming,11,1,9,0956797620927648,"F(1, 1049) = 7.82",TRUE,,FALSE
"η p 2 = .011, and an interaction between the two, F(5, 1039) = 6.98, p < .001, η p 2 = .033.",results,Recognition and source memory,12,3,1,0956797620927648,"F(5, 1039) = 6.98",TRUE,η p 2 = .011; η p 2 = .033,TRUE
"There was no effect of depth of processing, F(1, 1039) = 0.03, p = .873, η p 2 < .001, and no other interactions (ps > .05).",results,Recognition and source memory,12,3,2,0956797620927648,"F(1, 1039) = 0.03",TRUE,η p 2 < .001,TRUE
"A one-way ANOVA revealed a significant main effect of age for attended items, F(5, 1045) = 5.52, p < .001, η p 2 = .026, collapsed across depth of processing.",results,Recognition and source memory,12,3,3,0956797620927648,"F(5, 1045) = 5.52",TRUE,η p 2 = .026,TRUE
"There was no main effect of age on unattended items, F(5, 1045) = 0.61, p = .694, η p 2 = .003.",results,Recognition and source memory,12,3,4,0956797620927648,"F(5, 1045) = 0.61",TRUE,η p 2 = .003,TRUE
"As with priming, multiple regression revealed that age as a continuous variable significantly predicted a linear decline in recognition of attended items, F(1, 1049) = 7.19, p = .007, r = -.083.",results,Recognition and source memory,12,3,5,0956797620927648,"F(1, 1049) = 7.19",TRUE,,FALSE
"When we collapsed across depth of processing, there were significant main effects of age on recognition (d ′), F(4, 835) = 5.85, p < .001, η p 2 = .027, and priming, F(4, 835) = 4.65, p = .001, η p 2 = .022 (attended items; see Fig. 2), and age as a continuous variable predicted significant linear declines in recognition, F(1, 838) = 19.28, p < .001, r = -.15, and priming, F(1, 838) = 10.94, p = .001, r = -.11.",results,Recognition and source memory,12,4,3,0956797620927648,"F(4, 835) = 5.85; F(4, 835) = 4.65; F(1, 838) = 19.28; F(1, 838) = 10.94",TRUE,η p 2 = .027; η p 2 = .022,TRUE
"RTs were significantly faster for items judged to be old compared with ones judged to be new, F(1, 1027) = 277.48, p < .001, η p 2 = .213, and this was consistent across age groups (no interaction with age, p = .413; all paired-samples t tests, p < .001).",results,Associations between priming and recognition,13,1,2,0956797620927648,"F(1, 1027) = 277.48",TRUE,η p 2 = .213,TRUE
"A 6 (age) × 2 (attention) × 2 (depth of processing) ANOVA revealed significant main effects of attention, F(1, 1039) = 1,290.60, p < .001, η p 2 = .554, and age, F(5, 1039) = 2.33, p = .041,",fig,,1,,2,0956797620927648,"F(1, 1039) = 1; F(5, 1039) = 2.33",TRUE,η p 2 = .554,TRUE
"However, a simple linear regression between boys' F0 and explicit ratings revealed that the ratings accounted for only 3% of the variance in boys' F0, F(1, 352) = 11.84, p = .001, R 2 = .03.",results,Fundamental frequency (F0),8,1,6,0956797620929297,"F(1, 352) = 11.84",TRUE,,FALSE
"For SMS total score (i.e., SMS mind and SMS body scores combined), there was an effect of state of mind, F(2, 281) = 27.11, p < .001, η 2 = .16, 95% confidence interval (CI) = [.09, .24]; the Bayes factor supported the presence of an effect (i.e., the full model) compared with the null model, BF full-null = 5.01 × 10 8 .",results,Manipulation checks,6,2,1,0956797620929302,"F(2, 281) = 27.11",TRUE,η 2 = .16,TRUE
"A similar pattern of results was found for the SMS mind scale, F(2, 281) = 23.90, p < .001, η 2 = .15, 95% CI = [.07, .22], BF full-null = 3.71 × 10 7, in which there was no significant difference between scores in the mindfulness and mind-wandering conditions (p = .843), but both scores in the mindfulness (p < .001) and mindwandering conditions (p < .001) were greater than those in the join-the-dots condition.",results,Manipulation checks,6,3,1,0956797620929302,"F(2, 281) = 23.90",TRUE,η 2 = .15,TRUE
"For the SMS body scale, there was again an effect of state of mind, F(2, 281) = 27.81, p < .001, η 2 = .17, 95% CI = [.09, .24], BF full-null = 8.72 × 10 8, but all comparisons were now significant: Scores in the mindfulness condition were greater than those in the mind-wandering condition (p < .001), scores in the mindfulness condition were greater than those in the join-the-dots condition (p < .001), and scores in the mind-wandering condition were also greater than those in the join-the-dots condition (p = .016).",results,Manipulation checks,6,3,2,0956797620929302,"F(2, 281) = 27.81",TRUE,η 2 = .17,TRUE
"For the TRI questionnaire, there was a significant effect of state of mind, F(2, 281) = 27.54, p < .001, η 2 = .16, 95% CI = [.09, .24], BF full-null = 7.07 × 10 8 .",results,Manipulation checks,6,4,1,0956797620929302,"F(2, 281) = 27.54",TRUE,η 2 = .16,TRUE
"TUT scores also exhibited a significant effect of state of mind, F(2, 281) = 35.18, p < .001, η 2 = .20, 95% CI = [.12, .28], BF full-null = 2.99 × 10 11 .",results,Manipulation checks,6,4,3,0956797620929302,"F(2, 281) = 35.18",TRUE,η 2 = .20,TRUE
"As predicted, we observed a significant interaction between headline veracity and condition, β = -0.126, F(1, 25586) = 42.24, p < .0001, indicating that discernment was higher for accuracy judgments than sharing intentions (Fig. 1; similar results were obtained when we excluded the few headlines that did not contain clear claims of fact or that were political in nature; see Table S3 in the Supplemental Material).",results,Results,6,1,3,0956797620939054,"F(1, 25586) = 42.24",TRUE,,FALSE
"In other words, veracity had a much bigger impact on accuracy judgments, Cohen's d = 0.657, 95% confidence interval (CI) = [0.477, 0.836], F(1, 25586) = 42.24, p < .0001, than on sharing intentions, d = 0.121, 95% CI = [0.030, 0.212], F(1, 25586) = 6.74, p = .009.",results,Results,6,1,4,0956797620939054,"F(1, 25586) = 42.24; F(1, 25586) = 6.74",TRUE,,FALSE
"We found that scores on the CRT were positively related to both accuracy discernment and sharing discernment, as revealed by the interactions between CRT score and veracity, F(1, 25582) = 34.95, p < .0001, and F(1, 25582) = 4.98, p = .026, respectively.",results,Results,6,3,2,0956797620939054,"F(1, 25582) = 34.95; F(1, 25582) = 4.98",TRUE,,FALSE
"However, the relationship was significantly stronger for accuracy, as indicated by the three-way interaction among CRT score, veracity, and condition, F(1, 25582) = 14.68, p = .0001.",results,Results,6,3,3,0956797620939054,"F(1, 25582) = 14.68",TRUE,,FALSE
"Like CRT score, science knowledge was positively correlated with both accuracy discernment, F(1, 25552) = 32.80, p < .0001, and sharing discernment, F(1, 25552) = 10.02, p = .002, but much more so for accuracy, as revealed by the three-way interaction among science knowledge, veracity, and condition, F(1, 25552) = 7.59, p = .006.",results,Results,6,4,2,0956797620939054,"F(1, 25552) = 32.80; F(1, 25552) = 10.02; F(1, 25552) = 7.59",TRUE,,FALSE
"Distance from the nearest COVID-19 epicenter (defined as a county with at least 10 con firmed coronavirus cases when the study was run; log-transformed because of right skew) was not significant ly related to belief in either true or false headlines but was negatively correlated with sharing intentions for both true and false headlines-no significant interactions with veracity, p > .15; the interaction between distance and condition was marginal, F(1, 25522) = 3.07, p = .080.",results,Results,6,5,2,0956797620939054,"F(1, 25522) = 3.07",TRUE,,FALSE
"MMS score was negatively correlated with accuracy discernment, F(1, 25582) = 11.26, p = .0008.",results,Results,6,5,3,0956797620939054,"F(1, 25582) = 11.26",TRUE,,FALSE
"Medical maximizers showed greater belief in both true and false headlines (this pattern was more strongly positive for belief in false headlines); in contrast, there was no such correlation with sharing discernment, F(1, 25582) = 0.03, p = .87.",results,Results,6,5,4,0956797620939054,"F(1, 25582) = 0.03",TRUE,,FALSE
"Thus, medical maximizers were more likely to consider sharing both true and false headlines to the same degree, as revealed by the significant three-way interaction among maximizer-minimizer, veracity, and condition, F(1, 25582) = 7.58, p = .006.",results,Results,6,5,5,0956797620939054,"F(1, 25582) = 7.58",TRUE,,FALSE
"Preference for the Republican Party over the Democratic Party (partisanship) was not significantly related to accuracy discernment, F(1, 25402) = 0.45, p = .50, but was significantly negatively related to sharing discernment, F(1, 25402) = 8.28, p = .004.",results,Results,6,5,6,0956797620939054,"F(1, 25402) = 0.45; F(1, 25402) = 8.28",TRUE,,FALSE
"Specifically, stronger Republicans were less likely to share both true and false headlines but were particularly less likely (relative to Democrats) to share true headlines-however, the three-way interaction among partisanship, veracity, and condition was not significant, F(1, 25402) = 1.62, p = .20.",results,Results,6,5,7,0956797620939054,"F(1, 25402) = 1.62",TRUE,,FALSE
"As predicted, we observed a significant positive interaction between headline veracity and treatment, β = 0.039, F(1, 25623) = 17.88, p < .0001; the treatment increased sharing discernment (i.e., participants were more likely to share true headlines relative to false headlines after they rated the accuracy of a single non-COVID-related headline; Fig.",results,Results,11,1,1,0956797620939054,"F(1, 25623) = 17.88",TRUE,,FALSE
"Specifically, although participants in the control condition were not significantly more likely to say that they would share true headlines compared with false headlines, d = 0.050, 95% CI = [-0.033, 0.133], F(1, 25623) = 1.41, p = .24, in the treatment condition, sharing intentions for true headlines were significantly higher than for false headlines, d = 0.142, 95% CI = [0.049, 0.235], F(1, 25623) = 8.89, p = .003.",results,Results,11,1,3,0956797620939054,"F(1, 25623) = 1.41; F(1, 25623) = 8.89",TRUE,,FALSE
"The ANOVA revealed a significant main effect of context, F(1, 15) = 29.23, p < .001, η p 2 = .66, 95% confidence interval (CI) = [.29, .79].",results,Behavioral data,12,2,2,0956797620954815,"F(1, 15) = 29.23",TRUE,η p 2 = .66,TRUE
"The main effects of phase, F(1, 15) = 6.11, p = .026, η p 2 = .29, 95% CI = [.00, .55], and epoch, F(4, 60) = 9.71, p < .001, η p 2 = .39, 95% CI = [.03, .62], were also significant: RTs were shorter in the relocation phase than in the learning phase (Ms = 833 ms vs. 900 ms, respectively), and within each phase (most markedly during learning) they decreased across successive epochs (Epoch 1: M = 933 ms, Epoch 5: M = 818 ms), which is indicative of a general procedural task-learning effect.",results,Behavioral data,12,2,4,0956797620954815,"F(1, 15) = 6.11; F(4, 60) = 9.71",TRUE,η p 2 = .29; η p 2 = .39,TRUE
"Most importantly, the Context × Phase interaction was significant, F(1, 15) = 22.44, p < .001, η p 2 = .6, 95% CI = [.20, .76]: There was a robust, significant contextualcuing effect during the learning phase (119 ms), F(1, 15) = 31.22, p < .001, η p 2 = .68, 95% CI = [.31, .80], but no reliable effect during the relocation phase (17 ms), F(1, 15) = 3.1, p = .098, η p 2 = .17, 95% CI = [.00, .45].",results,Behavioral data,12,2,5,0956797620954815,"F(1, 15) = 22.44; F(1, 15) = 31.22; F(1, 15) = 3.1",TRUE,η p 2 = .6; η p 2 = .68; η p 2 = .17,TRUE
"Contextual cuing was nonreliable in Block 1, F(1, 15) = 3.43, p > .05, η p 2 = .19, 95% CI = [.00, .47], and Block 2, F(1, 15) = 2.89, p > .05, η p 2 = .16, 95% CI = [.00, .44], but was significant from Block 3 onward-Block 3: F(1, 15) = 13.58, p = .002, η p 2 = .48; Block 4: F(1, 15) = 5.21, p = .037, η p 2 = .26; Block 5: F(1, 15) = 5.67, p = .031, η p 2 = .27.",results,Behavioral data,12,2,9,0956797620954815,"F(1, 15) = 3.43; F(1, 15) = 2.89; F(1, 15) = 13.58; F(1, 15) = 5.21; F(1, 15) = 5.67",TRUE,η p 2 = .19; η p 2 = .16; η p 2 = .48; η p 2 = .26; η p 2 = .27,TRUE
"A repeated measures ANOVA on the mean error rates revealed a significant main effect of context, F(1, 15) = 4.6, p = .049, η p 2 = .23, 95% CI = [.00, .51]: Accuracy was higher for repeated relative to nonrepeated contexts (Ms = 11.1% vs.",results,Behavioral data,12,3,2,0956797620954815,"F(1, 15) = 4.6",TRUE,η p 2 = .23,TRUE
"In addition, there was a significant main effect of epoch, F(4, 60) = 2.97, p = .026, η p 2 = .17, 95% CI = [.00, .45]: Participants became more accurate across epochs within a given phase (Epoch 1: M = 13.3%, Epoch 5: M = 10.7%).",results,Behavioral data,12,3,4,0956797620954815,"F(4, 60) = 2.97",TRUE,η p 2 = .17,TRUE
"Finally, the Context × Phase interaction was significant, F(1, 15) = 15.98, p = .001, η p 2 = .52, 95% CI = [.12, .70]: During learning, accuracy was significantly greater for repeated than for nonrepeated displays (Ms = 9% vs.",results,Behavioral data,12,3,5,0956797620954815,"F(1, 15) = 15.98",TRUE,η p 2 = .52,TRUE
"14.2%, respectively), F( 1 during the relocation phase (repeated contexts: M = 13.3%, nonrepeated contexts: M = 11.5%), F(1, 15) = 3.11, p = .098, η p 2 = .17, 95% CI = [.00, .45].",results,Behavioral data,12,3,6,0956797620954815,"F(1, 15) = 3.11",TRUE,η p 2 = .17,TRUE
"This analysis revealed a significant main effect of phase, F(1, 15) = 36.14, p < .001, η p 2 = .71, 95% CI = [.35, .82]; amplitudes in the learning phase were negative, compared with a positive deflection in the relocation phase (learning: M = -0.87 µV, relocation: M = 0.88 µV).",results,Electrophysiological data,13,3,2,0956797620954815,"F(1, 15) = 36.14",TRUE,η p 2 = .71,TRUE
"Importantly, the Phase × Context interaction was also significant, F(1, 15) = 12.12, p = .003, η p 2 = .45, 95% CI = [.06, .66]: In the learning phase, repeated displays elicited an increased negative amplitude (M = -1.28 µV) relative to nonrepeated displays (M = -0.46 µV), t(15) = -3.34, p < .01, Cohen's d = -1.72, but this difference was reversed in the relocation phase, in which repeated displays showed a reliable, more positive-going deflection (M = 1.49 µV) than nonrepeated displays (M = 0.28 µV), t(15) = 2.88, p < .02, Cohen's d = 1.48.",results,Electrophysiological data,13,3,3,0956797620954815,"F(1, 15) = 12.12",TRUE,η p 2 = .45,TRUE
"The analysis of the PCN again revealed a significant main effect of phase, characterized by more negativegoing amplitudes in the learning phase (M = -1.68 µV) compared with the relocation phase (M = -0.85 µV), F(1, 15) = 9.92, p = .007, η p 2 = .4, 95% CI = [.04, .62].",results,Electrophysiological data,13,5,1,0956797620954815,"F(1, 15) = 9.92",TRUE,η p 2 = .4,TRUE
"The Phase × Context interaction was also significant, F(1, 15) = 5.84, p = .029, η p 2 = .28, 95% CI = [.00, .55]: In the learning phase, repeated displays elicited an increased PCN amplitude (M = -2.15 µV) relative to nonrepeated displays (M = -1.21 µV), t(15) = -2.52, p = .023, Cohen's d = -1.3.",results,Electrophysiological data,13,5,2,0956797620954815,"F(1, 15) = 5.84",TRUE,η p 2 = .28,TRUE
"Finally, the analysis of the CDA component yielded a significant main effect of phase, because of more negativegoing amplitudes in the learning phase (M = -0.82 µV) compared with the relocation phase (M = -0.19 µV), F(1, 15) = 6.68, p = .021, η p 2 = .31, 95% CI = [.004, .57].",results,Electrophysiological data,13,8,1,0956797620954815,"F(1, 15) = 6.68",TRUE,η p 2 = .31,TRUE
"Moreover, the Phase × Context interaction was again significant, F(1, 15) = 7.03, p = .018, η p 2 = .32, 95% CI = [.08, .57], owing to a more negative amplitude for repeated (M = -1.12 µV) than nonrepeated (M = -0.51 µV) contexts in the learning phase, t(15) = -2.13, p = .05, Cohen's d = -1.09; in the relocation phase, by contrast, the negative-going deflection was abolished for repeated displays (M = 0.07 µV), whereas the amplitude remained consistently negative for nonrepeated displays (M = -0.45 µV), t(15) = 2.43, p < .05, Cohen's d = 1.25.",results,Electrophysiological data,13,8,2,0956797620954815,"F(1, 15) = 7.03",TRUE,η p 2 = .32,TRUE
