text,section,header,div,p,s,id,match_test,has_t,match_es,has_es
"An independent-samples t test showed that participants who reported a non-Caucasian ethnicity were significantly shorter (M = 178.41 cm, SD = 9.59 cm) than the Caucasian participants (M = 183.98 cm, SD = 6.76 cm), t(63.18) = 4.19, p = .001.",results,Results,12,1,1,0956797618772822,t(63.18) = 4.19,TRUE,,FALSE
"At intake, participants generally showed positive implicit partner evaluations (M = 0.21, SD = 0.33, 95% CI = [.16, .25]), meaning that they were faster in categorizing words when partner words were matched with positive words as compared with negative words, t(246) = 9.75, 95% CI for the mean difference = [0.16, 0.25], p < .001 (one-sample t test against zero).",results,Preliminary analyses,12,1,1,0956797618785899,t(246) = 9.75,TRUE,,FALSE
"One-sample t tests against zero revealed that during the conversation, participants exhibited greater positivity than negativity in their verbal (M = 0.95, SD = 0.86) and nonverbal (M = 0.47, SD = 0.87) behaviors, t(245) = 17.21, 95% CI for the mean difference = [0.84, 1.06], p < .001, and t(245) = 8.46, 95% CI for the mean difference = [0.36, 0.58], p < .001, respectively.",results,Preliminary analyses,12,1,3,0956797618785899,t(245) = 17.21; t(245) = 8.46,TRUE,,FALSE
"Results, depicted in Figure 2, were confirmed by a two-tailed t test for dependent samples, t(20) = 7.86, p < .001.",results,Response,11,1,5,0956797618795679,t(20) = 7.86,TRUE,,FALSE
"Results, depicted in Figure2, were confirmed by a two-tailed t test for dependent samples, t(20) = 3.34, p = .003.",fig,,4,,3,0956797618795679,t(20) = 3.34,TRUE,,FALSE
"A one-sided paired-samples t test comparing the correlation coefficients found using specifications with controls to those found with no controls indicated a nonsignificant association, t(32) = 0.26, p = .79.",results,Results,11,9,6,0956797619830329,t(32) = 0.26,TRUE,,FALSE
"An examination of differences between survivors and decedents revealed that the latter were older, t(8746) = 33.57, p < .001; were more likely to be male, χ 2 (1, N = 8,748) = 191.90, p < .001; were less educated, t(8745) = 11.33, p < .001; and were less wealthy, t(2703) = 14.43, p < .001.",results,Results,6,1,4,0956797619835147,t(8746) = 33.57; t(8745) = 11.33; t(2703) = 14.43,TRUE,,FALSE
"They also were more likely to have chronic diseases, t(1955) = 20.66, p < .001; were less likely to engage in physical activity, t(8591) = 17.84, p < .001; and reported poorer self-rated health, t(1959) = 23.51, p < .001, and lower life satisfaction, t(1976) = 6.55, p < .001.",results,Results,6,1,5,0956797619835147,t(1955) = 20.66; t(8591) = 17.84; t(1959) = 23.51; t(1976) = 6.55,TRUE,,FALSE
"Similarly, decedents' spouses, compared with survivors' spouses, were older, t(8746) = 24.53, p < .001; were less educated, t(2031) = 9.70, p < .001; reported more chronic conditions, t(8745) = 11.00, p < .001; reported a lower level of physical activity, t(8591) = 10.91, p < .001; and had poorer self-rated health, t(8741) = 8.13, p < .001.",results,Results,6,1,6,0956797619835147,t(8746) = 24.53; t(2031) = 9.70; t(8745) = 11.00; t(8591) = 10.91; t(8741) = 8.13,TRUE,,FALSE
"They also reported lower relationship satisfaction, t(1922) = 7.97, p < .001, and lower life satisfaction, t(1986) = 5.09, p < .001.",results,Results,6,1,7,0956797619835147,t(1922) = 7.97; t(1986) = 5.09,TRUE,,FALSE
"These two groups of censored observations did not differ from each other on any variable included in the analyses, except for the number of chronic conditions: Participants who dropped out reported fewer chronic conditions (M = 1.87, SD = 1.40) than did participants who stayed in the panel (M = 2.07, SD = 1.46), t(7296) = 3.46, p = .001.",discussion,Discussion,10,5,2,0956797619835147,t(7296) = 3.46,TRUE,,FALSE
"Post hoc paired-samples t tests with Bonferroni correction showed a significant difference between the no-vision and continuous-vision conditions, t(9) = 4.12, p = .008, and between the latevision and continuous-vision conditions, t(9) = 3.94, p = .010, but not between the late-vision and no-vision conditions, t(9) = 1.55, p = .47.",results,Results,7,1,5,0956797619837981,t(9) = 4.12; t(9) = 3.94; t(9) = 1.55,TRUE,,FALSE
"As shown in Figure 3, participants rated faces that had been paired with the thumbtack-image cue (aversive CS+) as significantly more fear evoking than faces that had been paired with the coin-image cue (neutral CS+), t(44) = 3.36, p = .002, or with the no-image cue (CS-), t(44) = 3.56, p < .001.",results,Responses to CSs.,5,1,4,0956797619842261,t(44) = 3.36; t(44) = 3.56,TRUE,,FALSE
"Post hoc tests revealed that this effect was due to a decrease in the proportion of efficient choices in trials with a 0.75-unit-long barrier compared with shorter lengths-a post hoc Bonferroni-corrected t test comparing 0.75 with 0 found a statistically significant difference in the proportion of efficient choices, t(23) = 3.20, p = .024, d = 0.65, 95% CI = [.04, .20]whereas comparisons with 0.25-and 0.5-unit lengths, respectively, found only tendencies for higher efficiency ratios in trials with the shorter barriers: t( 23 The effects of choices on performance.",results,Results,4,2,3,0956797619842550,t(23) = 3.20,TRUE,d = 0.65,TRUE
"Post hoc Bonferroni-corrected paired-samples t tests yielded statistically significant effects of condition on the ratio of coefficient choices in trials with 0-, 0.5-, and 0.75-unitlong barriers, respectively-0 unit: t(23) = 2.73, p = .048, d = 0.56, 95% CI = [0.04, 0.25]; 0.5 unit: t(23) = 2.98, p = .028, d = 0.61, 95% CI = [0.05, 0.30]; 0.75 unit: t(23) = 4.74, p < .001, d = 0.97, 95% CI = [0.23, 0.59]but not in trials with 0.25-unit-long barriers (p = 1.000).",results,Results,8,3,6,0956797619842550,t(23) = 2.73; t(23) = 2.98; t(23) = 4.74,TRUE,d = 0.56; d = 0.61; d = 0.97,TRUE
"On average, dyads completed trials with a significantly higher level of accuracy when Actor 1 chose the coefficient subpath, colliding with on-screen walls fewer times (n = 24, M = .16, SD = .10) than when he or she chose the subefficient path (n = 21, M = .33, SD = .42), t(20) = 2.18, p = .041, d = 0.48, 95% CI = [.01, .34].",results,Results,8,4,3,0956797619842550,t(20) = 2.18,TRUE,d = 0.48,TRUE
"Trial duration was significantly longer for subefficient choices (n = 21, M = 10.7 s, SD = 5.62) than for efficient choices (n = 24, M = 7.55 s, SD = 1.02), t(20) = 5.85, p < .001, d = 1.28, 95% CI = [0.08, 0.17].",results,Results,8,4,5,0956797619842550,t(20) = 5.85,TRUE,d = 1.28,TRUE
") = 2.80, p = .062, d = 0.57, 95% CI = [.02, .15]; t(23) = 2.78, p = .064, d = 0.57, 95% CI = [.03, .20].",fig,,1,,1,0956797619842550,t(23) = 2.78,TRUE,d = 0.57; d = 0.57,TRUE
"However, a pairedsamples t test on mean trial durations demonstrated that the participants completed the task more slowly when making subefficient choices (n = 19, M = 7.88 s, SD = 1.83) than efficient choices (n = 24, M = 6.06 s, SD = 1.02), t(18) = 9.72, p < .001, d = 2.23, 95% CI of difference on log-transformed data = [0.09, 0.14].",fig,,2,,2,0956797619842550,t(18) = 9.72,TRUE,d = 2.23,TRUE
"As predicted, target images were rated as more emotionally intense than control images (target: M = 3.58, SD = 2.72; control: M = 2.87, SD = 2.61), t(39.73) = 4.41, b = 0.70, 95% confidence interval (CI) = [0.39, 1.00], p < .001 (see Fig.",results,Results,4,2,2,0956797619844231,t(39.73) = 4.41,TRUE,b = 0.70,TRUE
"There was also a Target × Neutral interaction, t(18.15) = 2.59, b = 0.66, 95% CI = [0.16, 1.16], p = .018.",results,Results,4,2,4,0956797619844231,t(18.15) = 2.59,TRUE,b = 0.66,TRUE
"The effect was larger for neutral images, t(26.87) = 4.90, b = 1.14, 95% CI = [0.68, 1.59], p < .001, than for positive images, t(92.54) = 2.66, b = 0.60, 95% CI = [0.16, 1.04], p = .009, and for negative images, t(26.82) = 1.58, b = 0.37, 95% CI = [-0.09, 0.82], p = .125.",results,Results,4,2,5,0956797619844231,t(26.87) = 4.90; t(92.54) = 2.66; t(26.82) = 1.58,TRUE,b = 1.14; b = 0.60; b = 0.37,TRUE
"The Target × Valence interaction was not significant, t(18.13) = 0.73, b = 0.21, 95% CI = [-0.36, 0.79], p = .476.",results,Results,4,2,6,0956797619844231,t(18.13) = 0.73,TRUE,b = 0.21,TRUE
"Target images were rated as more emotionally intense than they were at baseline (target: M = 3.71, SD = 2.68; baseline: M = 2.96, SD = 2.65), t(52.30) = 3.94, b = 0.79, 95% CI = [0.40, 1.19], p < .001.",results,Results,4,3,3,0956797619844231,t(52.30) = 3.94,TRUE,b = 0.79,TRUE
"Ratings of control images were not significantly different from baseline (control: M = 2.85, SD = 2.62), t(57.15) = -0.77, b = -0.07, 95% CI = [-0.24, 0.11], p = .445.",results,Results,4,3,4,0956797619844231,t(57.15) = -0.77,TRUE,b = -0.07,TRUE
"Beyond replicating the effect of the target manipulation on emotional intensity (see the Supplemental Material), participants matched target images to more distinctive versions than they did for control images (target: M = 0.52, SD = 2.32; control: M = 0.04, SD = 2.41), t(70.48) = 3.04, b = 0.46, 95% CI = [0.16, 0.75], p = .003.",discussion,Discussion and follow-up experiments,5,3,5,0956797619844231,t(70.48) = 3.04,TRUE,b = 0.46,TRUE
"Participants (N = 56) perceived emotional reactions to distinctive images as more intense than control images (distinctive: M = 3.49, SD = 2.87; pallid: M = 3.12, SD = 2.82), t(23.92) = 2.45, b = 0.38, 95% CI = [0.08, 0.68], p = .022.",discussion,Discussion and follow-up experiments,5,4,3,0956797619844231,t(23.92) = 2.45,TRUE,b = 0.38,TRUE
"78), t(103.15) = 1.26, b = 0.15, 95% CI = [-0.08, 0.39], p = .209; the Target × Neutral interaction, t(273.16) = 0.21, b = 0.05, 95% CI = [-0.40, 0.50], p = .836; or the Target × Valence interaction, t(95.72) = -1.02, b = -0.31, 95% CI = [-0.89, 0.28], p = .310.",fig,,0,,1,0956797619844231,t(103.15) = 1.26; t(273.16) = 0.21; t(95.72) = -1.02,TRUE,b = 0.15; b = 0.05; b = -0.31,TRUE
"Using the same model as above, we found that target images were rated as more distinctive than control images (target: M = 4.34, SD = 2.94; control: M = 3.37, SD = 2.77), t(44.59) = 4.70, b = 0.97, 95% CI = [0.57, 1.38], p < .001.",fig,,0,,5,0956797619844231,t(44.59) = 4.70,TRUE,b = 0.97,TRUE
"There was also a Target × Neutral interaction, t(17.36) = 3.22, b = 1.06, 95% CI = [0.42, 1.71], p = .005.",fig,,0,,6,0956797619844231,t(17.36) = 3.22,TRUE,b = 1.06,TRUE
"The difference between target and control images was larger for the neutral images, t(25.88) = 5.48, b = 1.68, 95% CI = [1.08, 2.29], p < .001, than for the positive images, t(26.00) = 1.84, b = 0.56, 95% CI = [-0.04, 1.16], p = .077, and negative images, t(26.71) = 2.35, b = 0.68, 95% CI = [0.11, 1.24], p = .026.",fig,,0,,7,0956797619844231,t(25.88) = 5.48; t(26.00) = 1.84; t(26.71) = 2.35,TRUE,b = 1.68; b = 0.56; b = 0.68,TRUE
"The Target × Valence interaction was not significant, t(17.16) = -0.31, b = -0.12, 95% CI = [-0.84, 0.61], p = .760.",fig,,0,,8,0956797619844231,t(17.16) = -0.31,TRUE,b = -0.12,TRUE
"Replicating previous studies (Dabbs, 1990;Miller & Lynam, 2006), results of independent-samples t tests indicated that men, compared with women, scored higher on aggression as measured by the RPQ, t(273) = 2.99, p = .003, and had higher salivary testosterone levels, Welch's t(76.88) = 17.88, p < .001.",method,Analysis of questionnaire and hormone levels,10,2,2,0956797619851753,t(273) = 2.99; t(76.88) = 17.88,TRUE,,FALSE
"The DC group had a significantly higher visual acuity than the CC group-one-sided t test, t(38.877) = 2.064, p = .023.",method,Participants,3,1,8,0956797619866625,t(38.877) = 2.064,TRUE,,FALSE
"According to this model, distant objects were reported as 19.3% larger (95% CI = [13.7%, 24.9%]) than nearby objects, t(1257) = 6.75, p < .001.",results,Experiment 1,10,1,4,0956797619869905,t(1257) = 6.75,TRUE,,FALSE
"An interaction between distance and shape reflected that this effect was slightly more pronounced for cubes than for spheres, t(1257) = 2.06, p = .039, 95% CI for the fixed-effect coefficient = [0.2%, 7.6%].",results,Experiment 1,10,1,5,0956797619869905,t(1257) = 2.06,TRUE,,FALSE
"According to this best-fitting model, participants were 17 ms faster (95% CI = [6 ms, 27 ms]) at reporting the orientation of a target grating when it was presented at the location of a template-matching visual object (mean from model fit = 528 ms) compared with a template-mismatching visual object (544 ms), as reflected by a significant effect of congruence, t(2077) = 3.04, p = .002 (see Fig. 3b).",results,Experiment 1,10,2,4,0956797619869905,t(2077) = 3.04,TRUE,,FALSE
"A significant interaction between congruence and template size reflected that the congruence effect was slightly larger when participants memorized the larger of the two presented objects, t(2077) = 1.99, p = .046, 95% CI for the fixed-effect coefficient = [0 ms, 24 ms].",results,Experiment 1,10,2,5,0956797619869905,t(2077) = 1.99,TRUE,,FALSE
"Unlike RT, accuracy did not significantly differ between these two conditions, t(19) = -1.55, p = .137, suggesting that the increase in performance at the location of the template-matching object was RT specific.",results,Experiment 1,10,3,2,0956797619869905,t(19) = -1.55,TRUE,,FALSE
"According to this model, distant objects were reported to be 14.6% larger (95% CI = [10.5%, 18.6%]) than nearby objects, as revealed by a main effect of distance, t(1637) = 7.07, p < .001.",results,Experiment 2,11,3,4,0956797619869905,t(1637) = 7.07,TRUE,,FALSE
"for cubes than for spheres, t(1637) = 2.50, p = .013, 95% CI for the fixed-effect coefficient = [0.9%, 7.9%].",results,Experiment 2,11,4,1,0956797619869905,t(1637) = 2.50,TRUE,,FALSE
"In the condition with no-depth control scenes, in contrast, there was no difference between nearby and distant objects, t(1633) = -0.31, p = .753, 95% CI for the fixed-effect coefficient = [-6.4%, 4.6%].",results,Experiment 2,11,4,3,0956797619869905,t(1633) = -0.31,TRUE,,FALSE
"The interaction between distance and shape was not significant either, t(1633) = 0.45, p = .654, 95% CI for the fixed-effect coefficient = [3.1%, 5.0%].",results,Experiment 2,11,4,4,0956797619869905,t(1633) = 0.45,TRUE,,FALSE
"A significant interaction between depth and distance confirmed that the overestimation of distant compared with nearby objects was 13.9% more pronounced (95% CI = [10.1%, 17.7%]) in the depth-inducing condition than in the no-depth control condition, t(3271) = 7.16, p < .001.",results,Experiment 2,11,5,2,0956797619869905,t(3271) = 7.16,TRUE,,FALSE
"As in Experiment 1, we found that participants were 24 ms faster (95% CI = [16 ms, 32 ms]) at discriminating gratings that appeared at the location of a template-matching object (mean from model fit = 464 ms) compared with a template-mismatching object (588 ms), as indicated by a main effect of congruence, t(2885) = 6.24, p < .001.",results,Main experiment.,12,1,2,0956797619869905,t(2885) = 6.24,TRUE,,FALSE
"In Experiment 2, this effect did not depend on whether the small or large object was memorized, as revealed by the absence of an interaction between congruence and template size, t(2885) = 0.52, p = .604, 95% CI for the fixed-effect coefficient = [-6 ms, 11 ms].",results,Main experiment.,12,1,3,0956797619869905,t(2885) = 0.52,TRUE,,FALSE
"Here, participants were 6 ms slower (95% CI = [-14 ms, 2 ms]) at discriminating gratings that appeared at the location of a template-matching object (478 ms) compared with a template-mismatching object (472 ms), as indicated by the absence of a main effect of congruence, t(2885) = 1.52, p = .13.",results,Main experiment.,12,2,2,0956797619869905,t(2885) = 1.52,TRUE,,FALSE
"The interaction between congruence and template size did not reach significance either, t(2885) = -1.18, p = .237, 95% CI for the fixed-effect coefficient = [-14 ms, 3 ms].",results,Main experiment.,12,2,3,0956797619869905,t(2885) = -1.18,TRUE,,FALSE
"A significant interaction between congruence and depth revealed that the effect of congruence was 26 ms more pronounced (95% CI = [17 ms, 36 ms]) with depth-inducing scenes than with no-depth control scenes, t(5747) = 5.58, p < .001.",results,Main experiment.,12,3,2,0956797619869905,t(5747) = 5.58,TRUE,,FALSE
"As in Experiment 1, accuracy did not significantly differ between these two conditions, t(25) = -0.89, p = .385.",results,Main experiment.,12,4,2,0956797619869905,t(25) = -0.89,TRUE,,FALSE
"Similarly, in the condition with no-depth control scenes, accuracy did not differ between the template-matching (94.1%, SD = 5.0) and the template-mismatching (94.5%, SD = 5.4) conditions, t(25) = -0.55, p = .584.",results,Main experiment.,12,4,3,0956797619869905,t(25) = -0.55,TRUE,,FALSE
"As in Experiment 1, we found that participants were 18 ms faster (95% CI = [11 ms, 26 ms]) at discriminating gratings that appeared at the location of a template-matching object (mean from model fit = 477 ms) than at the location of a template-mismatching object (496 ms), as reflected by a main effect of congruence, t(2904) = 4.78, p < .001.",results,Experiment 3,13,4,3,0956797619869905,t(2904) = 4.78,TRUE,,FALSE
"In Experiment 3 (as in Experiment 2), this effect did not depend on whether the small or large object was memorized, as revealed by the absence of an interaction between congruence and template size, t(2904) = 1.12, p = .265, 95% CI for the fixed-effect coefficient = [-14 ms, 4 ms].",results,Experiment 3,13,4,4,0956797619869905,t(2904) = 1.12,TRUE,,FALSE
"As in Experiments 1 and 2, participants' accuracy in reporting the orientation of the target grating did not reliably differ between the template-matching condition (92.4% accurate, SD = 5.0) and the template-mismatching condition (91.7% accurate, SD = 47.2), t(24) = 0.65, p = .524.",results,Experiment 3,13,5,1,0956797619869905,t(24) = 0.65,TRUE,,FALSE
"Throughout the stimulus presentation (0-4.5 s), theta and alpha SSVEPs were significantly above the prestimulus baseline level, both ts(37) > 7.46, p < .001, with higher SSVEP power for entrained theta compared with alpha, t(37) = 3.38, p = .002.",results,Results,11,1,2,0956797619876260,t(37) = 3.38,TRUE,,FALSE
"Post hoc t tests revealed a sharp increase in SSVEP power for the onset of unexpected compared with expected outcomes for the theta stimulation, t(37) = 2.85, p = .007, but no difference was found for the alpha stimulation, t(37) = 0.41, p = .684 (Fig. 2b).",results,Results,11,2,4,0956797619876260,t(37) = 2.85; t(37) = 0.41,TRUE,,FALSE
"The theta frequency during the alpha stimulation did not differ between the expected and unexpected conditions in the first second of the outcome picture (3-4 s), t(37) = 0.62, p = .536.",results,Results,11,3,2,0956797619876260,t(37) = 0.62,TRUE,,FALSE
"Participants in the time-pressure condition took less time to report the outcome of the die roll (M = 4.98 s, SD = 1.39 s) than those in the self-paced condition (M = 9.10 s, SD = 5.43 s), t(425) = 10.38, p < .001, d = 1.01, 95% CI = [0.80, 1.21], indicating that the time-pressure manipulation was successful.",results,Exploratory analyses.,7,1,3,0956797620903716,t(425) = 10.38,TRUE,d = 1.01,TRUE
"Participants in the time-pressure condition took less time to report the outcome of the die roll (M = 5.25 s, SD = 1.46 s) than those in the self-paced condition (M = 7.88 s, SD = 4.62 s), t(295) = 6.43, p < .001, d = 0.75, 95% CI = [0.51, 0.98], indicating that the time-pressure manipulation was successful.",results,Preregistered analyses.,12,1,2,0956797620903716,t(295) = 6.43,TRUE,d = 0.75,TRUE
"The perceived time pressure was higher in the time-pressure group (M = 3.11, SD = 1.04) than in the self-paced group (M = 2.34, SD = 1.04), t(295) = 6.36, p < .001, Cohen's d = 0.74, 95% CI = [0.50, 0.98].",results,Exploratory analyses.,14,3,6,0956797620903716,t(295) = 6.36,TRUE,Cohen's d = 0.74,TRUE
"From Experiment 3 onward, sample size was determined so as to reach a power of .9 for the context effect observed in Experiment 2 on the basis of a simplified, no-pooling version of the logistic regression model (we fitted a logistic function for each of the participants on noncentered data and then tested the mean context coefficient against zero), t(23) = 2.82, p < .01; Cohen's d = 0.58.",method,Participants,3,1,4,0956797620915887,t(23) = 2.82,TRUE,Cohen's d = 0.58,TRUE
"under the two transaction frames did not significantly differ, t(212) = 1.402, p = .162, Cohen's d = 0.196.",results,Experiment 3a,10,5,4,0956797620916521,t(212) = 1.402,TRUE,Cohen's d = 0.196,TRUE
"did not significantly differ under the two transaction frames, t(180) = 0.684, p = .495, Cohen's d = 0.10.",results,Experiment 3b,11,3,6,0956797620916521,t(180) = 0.684,TRUE,Cohen's d = 0.10,TRUE
"Mean classification RTs did not significantly differ between the deep (M = 701 ms, SE = 6) and shallow (M = 700 ms, SE = 7) conditions, t(1048) = 0.02, p = .985, d = 0.001, 95% confidence interval (CI) = [-0.12, 0.12].",results,Study phase,10,1,3,0956797620927648,t(1048) = 0.02,TRUE,d = 0.001,TRUE
"Priming for attended items was statistically above zero in all age groups (ps < .008, ds > 1.38, Bonferroni-adjusted alpha), but priming for unattended items was not significant in any group apart from adolescents, t(210) = 2.86, p = .005, d = 0.20, 95% CI = [0.06, 0.33], so a one-way ANOVA was performed on attended items where priming was present.",results,Priming,11,1,6,0956797620927648,t(210) = 2.86,TRUE,d = 0.20,TRUE
"There was an increasing tendency to judge items as new with age, and the oldest adults were unable to judge whether attended items were attended or new, t(34) = 0.26, p = .796, d = 0.04, 95% CI = [-0.29, 0.38] (see Fig. 3 for judgments and accuracy by item type).",results,Recognition and source memory,12,5,3,0956797620927648,t(34) = 0.26,TRUE,d = 0.04,TRUE
"Collapsed across age, identification RTs were fastest overall for attended items that were recognized (attended hits: M = 2,151, SD = 528), and slowest for correctly rejected new items (M = 2,364, SD = 525), and this difference was significant, t(1029) = 26.61, p < .001, d = 0.83, 95% CI = [0.76.",results,Associations between priming and recognition,13,2,3,0956797620927648,t(1029) = 26.61,TRUE,d = 0.83,TRUE
"Attended hits were associated with significantly faster identification times compared with attended misses, t(957) = 13.82, p < .001, d = 0.45, 95% CI = [0.38, 0.51], but-revealing no evidence of priming for unrecognized objects-RTs for misses did not differ from RTs for correct rejections (attended misses: M = 2,361, SD = 518; unattended misses: M = 2,352, SD = 548; correct rejections: M = 2,364, SD = 525; ps = .278 and .157, respectively).",results,Associations between priming and recognition,13,2,5,0956797620927648,t(957) = 13.82,TRUE,d = 0.45,TRUE
") = 2.54, p = .012, d = 0.20, 95% CI = [0.04, 0.35], or older adults, t(34) = 2.57, p = .015, d = 0.43, 95% CI = [0.08, 0.78].",fig,,1,,1,0956797620927648,t(34) = 2.57,TRUE,d = 0.20; d = 0.43,TRUE
"A comparison of the predicted values of arousal of the set of bouba-like and kiki-like words from previous studies revealed significantly higher arousal for kiki-like words than bouba-like words, for both PAG1 (kiki: M = 3.07, SE = 0.023; bouba: M = 2.90, SE = 0.020), t(88) = 5.91, p < .0001, d = 1.24, and PAG2 (kiki: M = 3.03, SE = 0.021; bouba: M = 2.85, SE = 0.019), t(88) = 6.17, p < .0001, d = 1.36.",results,Results,9,2,1,0956797620927967,t(88) = 5.91; t(88) = 6.17,TRUE,d = 1.24; d = 1.36,TRUE
"Participants judged a donation made to the nonprofit aligned with their own party to be more beneficial than harmful (M = 1.24, SD = 1.38), t(77) = 7.97, p < .001, d = 0.90, 95% confidence interval (CI) = [0.60, 1.20], whereas they judged a donation made to the nonprofit aligned with the opposing party to be more harmful than beneficial (M = -0.82, SD = 1.81), t( 77 Main study.",results,Results,8,1,4,0956797620948821,t(77) = 7.97,TRUE,d = 0.90,TRUE
"As predicted, analysis of this difference score indicated that the harm-reduction objective more strongly guided decision-making than the benefit-maximization objective in the avoidable-harm condition (M = 1.60, SD = 3.32) than in the unavoidable-harm condition (M = -1.13, SD = 2.94), t(192) = 6.03, p < .001, d = 0.87, 95% CI = [0.57, 1.16].",results,Results,12,2,3,0956797620948821,t(192) = 6.03,TRUE,d = 0.87,TRUE
"Compared with amplitudes in the baseline period, the N1pc exhibited a more negative deflection in the learning phase (N1pc: M = -0.87 µV, baseline: M = -0.0006 µV), t(15) = -6.89, p < .001, Cohen's d = -3.55, whereas it actually became more positive in the relocation phase (N1pc: M = 0.88 µV, baseline: M = 0.003 µV), t(15) = 3.89, p < .01, Cohen's d = 2.01.",results,Electrophysiological data,13,2,3,0956797620954815,t(15) = -6.89; t(15) = 3.89,TRUE,Cohen's d = -3.55; Cohen's d = 2.01,TRUE
"Importantly, the Phase × Context interaction was also significant, F(1, 15) = 12.12, p = .003, η p 2 = .45, 95% CI = [.06, .66]: In the learning phase, repeated displays elicited an increased negative amplitude (M = -1.28 µV) relative to nonrepeated displays (M = -0.46 µV), t(15) = -3.34, p < .01, Cohen's d = -1.72, but this difference was reversed in the relocation phase, in which repeated displays showed a reliable, more positive-going deflection (M = 1.49 µV) than nonrepeated displays (M = 0.28 µV), t(15) = 2.88, p < .02, Cohen's d = 1.48.",results,Electrophysiological data,13,3,3,0956797620954815,t(15) = -3.34; t(15) = 2.88,TRUE,η p 2 = .45; Cohen's d = -1.72; Cohen's d = 1.48,TRUE
"In fact, a follow-up analysis comparing the N1pc cuing effects (i.e., the difference in amplitude between nonrepeated and repeated displays) across the first half (Epochs 6 and 7) and the second half (Epoch 9 and 10) of the relocation phase showed that the spatial bias toward the initially learned target location remained undiminished throughout the entire relocation phase (cuing effects in first half: M = -1.96 µV, cuing effects in second half: M = -2.98 µV), t(15) = 1.66, p > .11.",results,Electrophysiological data,13,3,7,0956797620954815,t(15) = 1.66,TRUE,,FALSE
"The Phase × Context interaction was also significant, F(1, 15) = 5.84, p = .029, η p 2 = .28, 95% CI = [.00, .55]: In the learning phase, repeated displays elicited an increased PCN amplitude (M = -2.15 µV) relative to nonrepeated displays (M = -1.21 µV), t(15) = -2.52, p = .023, Cohen's d = -1.3.",results,Electrophysiological data,13,5,2,0956797620954815,t(15) = -2.52,TRUE,η p 2 = .28; Cohen's d = -1.3,TRUE
"In the relocation phase, by contrast, this difference was nonsignificant overall (repeated: M = -0.56 µV, nonrepeated: M = -1.15 µV), t(15) = 1.795, p = .093, Cohen's d = 0.92 (see Fig. 5b).",results,Electrophysiological data,13,5,3,0956797620954815,t(15) = 1.795,TRUE,Cohen's d = 0.92,TRUE
"Numerically, though, the cuing effect was reversed (suggesting some cost for repeated displays), and if anything, this was more marked in the second half than in the first half of the relocation phase (cuing effect in first half: M = 0.07 µV, cuing effect in second half: M = -0.71 µV), t(15) = -2.12, p = .051.",results,Electrophysiological data,13,5,4,0956797620954815,t(15) = -2.12,TRUE,,FALSE
"Moreover, the Phase × Context interaction was again significant, F(1, 15) = 7.03, p = .018, η p 2 = .32, 95% CI = [.08, .57], owing to a more negative amplitude for repeated (M = -1.12 µV) than nonrepeated (M = -0.51 µV) contexts in the learning phase, t(15) = -2.13, p = .05, Cohen's d = -1.09; in the relocation phase, by contrast, the negative-going deflection was abolished for repeated displays (M = 0.07 µV), whereas the amplitude remained consistently negative for nonrepeated displays (M = -0.45 µV), t(15) = 2.43, p < .05, Cohen's d = 1.25.",results,Electrophysiological data,13,8,2,0956797620954815,t(15) = -2.13; t(15) = 2.43,TRUE,η p 2 = .32; Cohen's d = -1.09; Cohen's d = 1.25,TRUE
"In the recognition test, conducted after the search task, there was no difference between the rates of hits (correct recognition of repeated displays as repeated: 46.1%) and false alarms (erroneous recognition of nonrepeated displays as repeated: 48.4%), t(15) = -0.39, p > .6, Cohen's d = -0.2.",results,Recognition test,14,1,1,0956797620954815,t(15) = -0.39,TRUE,Cohen's d = -0.2,TRUE
"Yes-the 90% confidence intervals of the difference in attentional bias for participants who were and were not recently ill found here (d z = -0.14, 90% CI = [-0.31, -0.04]) did not overlap with an effect size (d z ) of -0.35, t(248.4) = 2.01, p = .023, or 0.35, t(248.4) = -4.55, p < .001.",results,Results,9,3,3,0956797620955209,t(248.4) = 2.01; t(248.4) = -4.55,TRUE,,FALSE
"There was no significant difference between the familiarity ratings of the threeletter target (real) words (M = 4.15, SD = 0.28) and the five-letter words (M = 4.25, SD = 0.20), t(39) = -1.71, p = .10.",method,Stimuli.,5,2,5,0956797620958638,t(39) = -1.71,TRUE,,FALSE
"Follow-up t tests revealed a significant length effect for pseudowords, with larger relative changes for five-letter strings (M = 13.17%, SD = 8.68) compared with three-letter strings (M = 8.97%, SD = 7.52), t(29) = -5.19, p < .001.",results,Results,7,2,7,0956797620958638,t(29) = -5.19,TRUE,,FALSE
"A (smaller) length effect was also observed for real words, with larger relative changes for five-letter strings (M = 6.95%, SD = 5.06) than for three-letter strings (M = 5.81%, SD = 5.90), t(29) = -2.20, p = .04.",results,Results,7,2,8,0956797620958638,t(29) = -2.20,TRUE,,FALSE
