text,section,header,div,p,s,id
"Path diagram for the moderated mediation analysis showing the influence of political orientation, time, and their interaction on attitudes toward Muslims and immigrants, as mediated by endorsement of the in-group and fairness foundations.",fig,Fig. 5 .,5,1,7,0956797615615584
R01AG040640) and UK Economic and Social Research Council grants to J-E De Neve.,funding,Funding,17,1,2,0956797616634654
"The OSR dictates both the availability of potential mates and the degree of competition for those mates (Emlen & Oring, 1977;Weir, Grant, & Hutchings, 2011).",intro,Sex Ratios,2,2,2,0956797616636631
S von Stumm is the recipient of a British Academy/Leverhulme Small Grant (SG140924) to study variability in mood and cognition.,funding,,12,1,3,0956797616669994
"This research was supported as a Major Program of the National Natural Science Foundation of China (71090402, 71490722) through Southwest Jiaotong University, Chengdu, China, where J Jia is affiliated, and by the Research Grants Council of Hong Kong (27500114, 17506316), which supports J S Jia.",funding,Funding,13,1,1,0956797616671712
"Decision making is a fundamental cognitive operation that has received relatively little attention from autism researchers (Davis & Plaisted-Grant, 2015;Luke, Clare, Ring, Redley, & Watson, 2012).",intro,[div-01],1,2,2,0956797617694867
"Altered preferences in a choice task involving verbally described consumer products would suggest the need for a broader characterization and integrated theorizing across levels and domains of processing (Davis & Plaisted-Grant, 2015;Pellicano & Burr, 2012).",intro,[div-01],1,4,6,0956797617694867
"The effect was weaker than in our ASC study, may reflect the presence of people with ASC in the high-AQ sample, and could have been driven by different mechanisms (Gregory & Plaisted-Grant, 2016), but it provides converging evidence for an association between autistic traits and a reduction in context sensitivity during choice.",results,AQ study: context effects among highand low-AQ groups in the general population,7,2,2,0956797617694867
"There is debate about the generality of enhanced discrimination across tasks and domains (Happé & Frith, 2006) and about the neural mechanisms involved (Davis & Plaisted-Grant, 2015), but a greater separation of attribute values in representational space among people with ASC, compared with neurotypical individuals, provides an explanation for our findings that links a wide-ranging model of context effects to a diverse body of empirical and theoretical work on autism.",discussion,Discussion,12,3,5,0956797617694867
"For example, Bettinger et al. (2012) studied the effect of Free Application for Federal Student Aid (FAFSA) assistance on FAFSA completion rates, college attendance rates, Pell Grant receipt rates, and years of postsecondary education for both traditional and nontraditional students.",method,Relative-effectiveness calculations,4,3,3,0956797617702501
"However, for grant programs or tax credits, administrative and marketing costs are small in relation to the total amount of money transferred, so accounting for them would not significantly affect our estimates.",method,Notes,17,1,18,0956797617702501
"Other researchers (Linsenmeier, Rosen, & Rouse, 2006;Conley & Taber, 2011) did not find statistically significant estimates of the effect of grants on college enrollment.",method,Notes,17,1,28,0956797617702501
Data support was provided by Duke's Social Science Research Institute and North Carolina Biotechnology Center Grant 2016-IDG-1013.,funding,,21,1,4,0956797617744542
An incentive of €80 was granted for participating in the intake part of the study and responding to at least 80% of the diary signals.,method,Participants,7,1,5,0956797618785899
"Future research should be extended to expatriate and immigrant groups and incorporate a wider range of adjustment indicators (e.g., performance ratings from supervisors, peer evaluations, or cortisol levels for indication of stress) to complement self-reports.",discussion,Discussion,11,4,4,0956797618815488
Longitudinal associations of cultural distance with psychological well-being among Australian immigrants from 49 countries.,funding,Funding,14,1,29,0956797618815488
Self-monitoring: A moderating role between acculturating strategies and adaptation of immigrants.,funding,Funding,14,1,35,0956797618815488
The sample was collected by involving all children in households already interviewed by the PSID who were descended from either the original families recruited in 1968 or the new immigrant family sample added in 1997.,method,Method,4,3,4,0956797619830329
"To retain the influence and trust we often take for granted as a psychological research community, robust and transparent research practices will need to become the norm-not the exception.",discussion,Conclusion,13,1,6,0956797619830329
It is sponsored by the National Institute on Aging (Grant No.,method,Participants,3,1,2,0956797619835147
"Ethical approval was granted by the Middlesex University Research Ethics Committee, and all participants provided informed consent, including parent or guardian consent for those under 16.",method,Participants and design,6,1,4,0956797620927648
C J Berry (Grant No.,funding,Funding,17,1,2,0956797620927648
ES/N009916/1) and D R Shanks (Grant No.,funding,Funding,17,1,3,0956797620927648
S-J Blakemore wrote the initial grant application.,annex,Author Contributions,20,1,1,0956797620957625
"Similarly, the behavioral-immune-system literature is replete with proposals that prejudices toward members of various groups partially stem from people treating morphological features (e.g., in the cases of the physically disabled, obese, and elderly) or foreign ecological origin (e.g., in the case of immigrants) as cues to infectiousness (for a summary, see Murray & Schaller, 2016).",discussion,Implications for understanding the behavioral immune system,14,3,2,0956797620960011
"Recent studies have reevaluated claims that anti-immigrant prejudices partially result from perceptions that foreign ecological origin is indicative of infectiousness (e.g., Karinen, Molho, Kupfer, & Tybur, 2019;van Leeuwen & Petersen, 2018); future work could similarly clarify whether the behavioral immune system outputs prejudices toward the obese, elderly, and physical disabled because they are perceived as infectious or because they are perceived as not offering the interpersonal benefits that offset the infection risks posed by any social interaction.",discussion,Implications for understanding the behavioral immune system,14,3,4,0956797620960011
"Granted, we do not have a pre-pandemic baseline for the present sample.",results,Negative Emotions,13,3,2,0956797620967261
Veni.195.116 awarded to J H B de Groot and by a National Institutes of Health Grant No.,funding,Funding,14,1,3,0956797620970548
"AZV 17-32957A) and by the project ""Sustainability for the National Institute of Mental Health"" under Grant No.",funding,Funding,35,1,5,0956797620985832
"Further support for this research was provided by a grant to F Schafmeister's PhD supervisor, Anna Dreber Almenberg, from the Marianne and Marcus Wallenberg Foundation.",funding,Funding,17,1,3,09567976211005767
"Our results thus suggest that affordances might grant real objects higher perceptual priority (Weller et al., 2019).",results,Experiment 3,16,3,1,09567976211010718
"We therefore suggest that it is stored motor representations, or stable affordances, that drive the effect by granting real objects priority in detection, emphasizing the importance of action in perception.",discussion,Discussion,17,4,3,09567976211010718
Both Individual A and Individual B support tougher immigration policies and believe that immigrants can have negative social and economic effects on the country.,method,Study 1a: method,8,4,1,09567976211011969
"Ethical approval was granted by the internal review board for nonexperimental research of the Erasmus School of Economics, Erasmus University Rotterdam.",method,Method,3,1,1,09567976211015941
"Veni.195.078); the University of Amsterdam (Behavioral Economics Priority Grant; principal investigator: Theo Offerman); the Wellcome Trust Institutional Strategic Support Fund (204826/Z/16/Z) to J Savulescu, G Kahane, N S Faber, and M J Crockett; the Academy of Medical Sciences (SBF001/1008) to M J Crockett; the Oxford Martin School (Programme for Collective Responsibility for Infectious Disease) to J Savulescu, N S Faber, and M J Crockett; and Wellcome Trust (WT203132 and WT104848) to J Savulescu.",funding,Funding,15,1,2,09567976211015942
This study was granted ethical approval by the departmental research ethics committee (ID 733).,method,Participants,4,2,6,09567976211016410
Ethical approval for this study was granted by the Cambridge Psychology Research Ethics Committee (PRE.2020.086) and the US Army Human Research Protection Office (HR00112020015).,method,Procedure,6,1,5,09567976211024535
"effectiveness of resources offered to refugees still lags: Relative to other migrants, refugees underperform in language courses (Tissot et al., 2019) and take up to 20 years to reach employment rates similar to those of native-born individuals (Dumont et al., 2016).",intro,[div-01],1,1,1,09567976211028978
"For example, by preferentially copying the majority, a migrating individual can adopt locally adaptive behavior while minimizing the risk of copying a fellow migrant (Shultz et al., 2017).",intro,[div-01],1,1,5,09567976211032224
Veni.198.065 awarded to E Spaak and Vidi Grant 452-13-016 awarded to F P de Lange) and by the European Research Council under the European Union's Horizon 2020 program for research and innovation (Grant No. 725970 to M V Peelen and Grant No. 678286 to F P de Lange).,funding,Funding,15,1,2,09567976211032676
"Ethics approval for the study was granted by the University of Washington (Budget No. 61-2960, electronic private access code [ePAC] No.",method,Method,5,1,1,09567976211037971
"Thus, an app that is granted access to a smartphone's standard activity logging could render a reasonable prediction about a user's identity even when they are logged out of their account.",discussion,Discussion,9,3,4,09567976211040491
"EP/N509796/1, Project Reference No.1939178) and the National Science Foundation (Grant No.",fig,Transparency,3,1,11,09567976211043426
MOP 133450) and the Natural Sciences and Engineering Research Council of Canada (Discovery Grant No.,funding,Funding,22,1,2,0956797621991137
Preparation of this article was made possible by National Institute of Mental Health grants awarded to A W Manigault (Grant No.,funding,Funding,21,1,5,09567976221079633
T32MH015750) and K R Kuhlman (Grant No.,funding,Funding,21,1,6,09567976221079633
"817492-SAMPLING) supporting J Spicer, J-Q Zhu, and A N Sanborn and by an Economic and Social Research Council Network for Integrated Behavioural Science grant (No.",funding,,14,1,2,09567976221089599
The UK Medical Research Council (MRC) and the Wellcome Trust (Grant No.,funding,Funding,17,1,1,09567976221101045
076467/Z/05/Z) and a Wellcome grant to Glyn Lewis (Grant No.,funding,Funding,17,1,5,09567976221101045
"G101400) to J Holmes, an MRC program grant (No.",funding,Funding,17,1,8,09567976221101045
"MC-A060-5PQ40) to D Astle, a James S McDonnell Foundation Opportunity Award to D Astle, and a Templeton World Charity Foundation grant (No. 0159) to D Astle.",funding,Funding,17,1,9,09567976221101045
"RPGIN-2016-05), Israel Science Foundation (Grant No. 48/20), and Social Sciences and Humanities Research Council of Canada (Grant No.",funding,,16,1,2,09567976221114055
R01 HD083027; Grant No.,funding,Funding,20,1,2,09567976221116816
"SBE-1835239), and the National Institute of Mental Health (Grant No.",funding,Funding,22,1,2,09567976221145316
Access to meals and communication devices (study phone and laptop) was exclusively granted at predefined times and without direct contact with the experimenter to ensure high comparability between sessions.,method,Method,5,3,11,09567976231156413
"These included, among other measures, demographic variables (age and gender), a social isolation index (Grant et al., 2009), and the UCLA Loneliness Scale (Russell, 1996).",method,Method,5,4,3,09567976231156413
"21GB0301), and the Japan Society for the Promotion of Science Grants-in-Aid for Scientific Research (KAKENHI) Program (Grant No.",funding,,21,1,2,09567976231156793
"For helpful conversations, we thank Karl Aquino, Adam Grant, Matthew Caulfield, Beth Anne Helgason, Brian Lucas, David Mayer, Sean McDonnell, Zoe Schwingel-Sauer, and Kristin Smith-Crowe.",acknowledgement,Acknowledgments,42,1,2,09567976231173900
"Presently, at least in the United States, most insurance requires evidence of clinical levels of behavioral health problems before access is granted to parenting interventions.",discussion,Clinical and policy implications,16,1,5,09567976231194221
"F31HD098825; to D M Bagner and J S Comer, Grant No.",funding,,17,1,2,09567976231194221
"R01HD084497) and from the National Center of Minority Health and Health Disparities (to J Parent, Grant No.",funding,,17,1,3,09567976231194221
The hypothesis and analytical approach for this study were preregistered before access to the sensitive survey data was granted.,method,Method,3,1,1,09567976231196145
Ethical approval for this study was granted through the Ethics Review Board of the University of Mannheim (EK Mannheim 34/2020).,method,Statement of Relevance,4,1,11,09567976231196145
"DP220101026), a TRANSFORM Career Development Fellowship to A Dawel from the Australian National University College of Health and Medicine, and an Experimental Psychology Society Small Grant to C A M Sutherland.",funding,Funding,27,1,2,09567976231207095
An individual grant from the FCT also supported N Gomes (Grant No.,funding,Funding,19,1,3,09567976231213572
"In Study 2 (a preregistered, randomized, controlled-trial study using a convenience sample of 219 Polish adults; 168 female), a 6-week mobile app supported training in daily mindful-gratitude practice decreased prejudice (anti-Semitism, sexism, homophobia, anti-immigrant sentiment) and its link with collective narcissism compared to a waitlist control.",abstract,Abstract,0,2,1,09567976231220902
"A pilot experiment and a preregistered study demonstrated that mindful-gratitude practice attenuates the robust, positive association between collective narcissism and various forms of prejudice, such as anti-Semitism, sexism, homophobia, and anti-immigrant sentiment.",intro,Statement of Relevance,4,1,6,09567976231220902
"In Study 2, we assessed prejudice against groups targeted during that time by the Polish government: the Jewish minority, women, the LGBTQ community, and immigrants from Ukraine (prior to the Russian invasion).",intro,Overview,5,4,3,09567976231220902
"We assessed anti-immigrant sentiment against Ukrainians, the largest immigrant group in Poland at the time, with a social-distance scale we developed consisting of six items (e.g., ""I would have no objection to Ukrainian immigrants being employed in my place of work"" and ""Poland should increase help to Ukrainian immigrants"") and an intergroup threat scale (Cottrell & Neuberg, 2005) consisting of 10 items that referred to symbolic threat (e.g., ""Ukrainian immigrants violate trust"") or realistic threat (e.g., ""Ukrainian immigrants threaten our jobs"").",method,Method,11,7,5,09567976231220902
"In Study 2, a 6-week, mindful-gratitude practice decreased prejudice (anti-Semitism, sexism, homophobia, anti-immigrant sentiment), and this decrease was pronounced at high levels of collective narcissism.",discussion,General Discussion,13,1,4,09567976231220902
"In two studies, this practice attenuated prejudice (anti-Semitism, sexism, homophobia, anti-immigrant sentiment) among collective narcissists.",discussion,Conclusion,15,1,4,09567976231220902
"For example, police officers who should cite drivers for an infraction may opt not to; judges may grant reduced sentences to criminals; or business managers may accept employees' requests for time off or additional benefits.",discussion,Discussion,9,7,4,09567976241227411
This disadvantage may apply to migrant groups like refugees but also to out-groups and minorities.,discussion,Implications,24,1,2,09567976241239932
"Q0706/228) was granted by the ethics committee for the Institute of Psychiatry, Psychology and Neuroscience at King's College London.",method,Sample,4,3,4,09567976241242105
Ethical approval for the UKHLS data collection was granted by the University of Essex ethics committee.,method,Data and measurements,7,1,11,09567976241243370
"1 Accordingly, some risky-choice settings, such as sportsbetting apps, cater to this preference by incorporating a cash-out feature into the delay between choice and outcome: While waiting for the outcome, the decision maker is given the option to cash out of an original choice by forgoing any future winnings in exchange for a discounted immediate payout (A Brown & Yang, 2017;Grant et al., 2021).",intro,Introduction,1,1,4,09567976241266516
We thank Max Schultz and Paul Brockmeyer for helping with data collection and Josh Grant for proofreading.,acknowledgement,Acknowledgments,16,1,2,09567976241279291
"ERC-CoG GEOCOG 724836), the Kavli Foundation, the Jebsen Foundation, Helse Midt Norge, and the Research Council of Norway (Grant Nos.",funding,Funding,17,1,3,09567976241279291
"Each time a full horizontal line is created, it disappears, and the participant is awarded points.",method,Tasks and measures,4,4,5,0956797615583071
"To encourage mental rotation, we asked participants to work out in their ""mind's eye"" where best to place these blocks in order to create the horizontal lines and be awarded points.",method,Tasks and measures,4,4,7,0956797615583071
"One point was awarded for each letter written correctly (for the inconsistent items, either letter was accepted).",method,Tests and procedures,5,6,5,0956797615603702
How would you feel if you won an award for outstanding professional achievement?,intro,Research Article,1,1,1,0956797616634654
"Participants were informed beforehand about the four cues they would hear and how the outcomes of each cue condition would be determined in each case-how quickly they reached the target (i.e., their performance), random computer selection, or award of a fixed certain amount.",method,Procedure,4,4,1,0956797617693326
"HD065829, awarded to R P Levy and K Rayner.",annex,Declaration of Conflicting Interests,12,2,2,0956797619890619
"Questions ask about the number of composed and performed works; pupils and students; CD, radio, and television recordings; national and international reviews; awards; participation on competition juries; and success of pupils.",method,Measures,5,3,4,0956797620959014
"The ratings for music range from 1 (I am not engaged in music at all) via 4 (I have played or sung, or my music has been played in public concerts in my home town, but I have not been paid for this) to 7 (I am professionally active as a musician and have been reviewed/ featured in national or international media and/or have received an award for my musical activities).",method,Measures,5,4,4,0956797620959014
R01DC010014 awarded to J A Gottfried.,funding,Funding,14,1,4,0956797620970548
"The results for absolute payoffs (see Table 1) show that the average percentage of the initial prize awarded at the end of the negotiation among pairs of participants who received two good signals was 26.43% lower than the share awarded to pairs of participants who received signals of opposite valence (Mann-Whitney test: z = 2.453, p = .014, Somers's d = -0.12, 95% CI = [-0.217, -0.0136]).",results,Agreements,9,1,7,09567976211007414
"percentage of the initial prize that was awarded after the negotiation (β = -0.422, 95% CI = [-0.778, -0.0671], z = -2.33, p = .020).",results,Agreements,9,3,1,09567976211007414
"Next, three raters evaluated the perceived Note: The first two columns report the two-stage least-squares regression estimates of the sum of beliefs of participants i and j from the pair {i,j}, instrumented by both i and j signals on the percentage of the initial prize that was awarded at the end of the negotiation process.",results,Communication,10,1,3,09567976211007414
"The original preregistered sample size was 80 participants, but a further award allowed us to increase the sample size to 100 (for more information, see the Supplemental Material available online).",annex,Supplemental Material,25,1,2,09567976211017870
"2017/27/B/HS6/01120 from the National Science Center, awarded to E Szumowska.",funding,Funding,17,1,2,09567976211049439
"Participants were awarded the points corresponding to the outcome of the lottery in every trial (added to their total point sum), regardless of whether they got to see the outcome or not.",method,Statement of Relevance,5,5,13,09567976221082637
"As in Experiment 1, participants were awarded the points corresponding to the outcome of the lottery in every trial.",method,Statement of Relevance,5,5,18,09567976221082637
"ERC-2016-CoG-724537) under the Seventh Framework Programme for the INtheSELF project and by a NOMIS Foundation Distinguished Scientist Award for the ""Body & Image in Arts & Science"" project.",funding,,16,1,6,09567976221131519
"The Situative Ebb and Flow of Relevant Categorization"" awarded to R Imhoff.",funding,Funding,21,2,1,09567976231218640
2017/26/A/ HS6/00647) awarded to Agnieszka Golec de Zavala.,funding,Funding,17,1,2,09567976231220902
"The authors are applying for a Computational Reproducibility Badge, which will be awarded pending checks by the STAR Team.",funding,Open Practices,28,1,8,09567976241249183
"The authors are applying for a Computational Reproducibility Badge, which will be awarded pending checks by the STAR Team.",discussion,Open Practices,36,1,14,09567976241258149
"To incentivize the game, we awarded prizes proportionate to the amount of water children had collected.",intro,Statement of Relevance,2,1,8,09567976241267854
The authors are applying for a Computational Reproducibility Badge which will be awarded pending checks by the STAR team.,funding,Open Practices,18,2,1,09567976241279291
"Two studies of tax incentives for college enrollment examining the Hope Scholarship, Lifetime Learning, and American Opportunity Tax Credits estimated that these produced no measurable increases in college attendance (Bulman & Hoxby, 2015;Long, 2004b).",results,Increasing college enrollment among recent high school graduates,8,2,1,0956797617702501
"Giving households access to a Web page with this information along with messages linking pollution from electricity usage to health and environmental issues, perhaps sparking moral concerns (Haidt, 2001), reduced electricity consumption by 8.192%, or 70.9 kWh (0.0819 × 8.66 × 100), over the 100-day treatment period relative to the same period in the control group, which had baseline The federal government offered the Hope Scholarship, Lifetime Learning, and American Opportunity Tax Credits to subsidize spending on higher education.",results,Increasing energy conservation,9,1,8,0956797617702501
"Active-Decision Nudge (Carroll et al., 2009) Danish Tax Incentives (Chetty et al., 2014) Retirement Savings Information (Duflo & Saez, 2003) Matching Contributions: 20% (Duflo et al., 2006) Matching Contributions: 50% (Duflo et al., 2006) US Tax Incentives (Duflo et al., 2007) Form-Streamlining Nudge (Bettinger et al., 2012) Monthly Stipends (Dynarski, 2003) Monetary Subsidies (Long, 2004a) Tax Credits (Long, 2004b;Bulman & Hoxby, 2015) Social-Norms Nudge (Allcott, 2011) Health-Linked Usage Information Nudge (Asensio & Delmas, 2015) Billing-Information Nudge (Asensio & Delmas, 2015) Electricity Bill Discounts (Ito, 2015) Incentives and Education (Arimura et al., 2012) Planning-Prompt Nudge (Milkman et al., 2011) Default-Appointment Nudge (Chapman et al., 2010) Monetary Incentive (Bronchetti et al., 2015) Educational Campaign (Kimura et al., 2007) Free Work-Site Vaccinations (Kimura et al., 2007) $100 $2.77 $14.58 $5.59 $2.97 $1.24 1.53 0.0351 0.0051 Negligible 27.3 0.050 Negligible 3.41 14.0 12.8 3.65 1.78 8.85 1.07 Influenza Vaccinations (Increase in Adults Vaccinated per $100 Spent) Energy Conservation (Increase in kWh Saved per $1 Spent) College Enrollment (Increase in Students Enrolled per $1,000 Spent) Retirement Savings (Increase in Contributions for the Year per $1 Spent) Fig.",results,Nudge,7,2,1,0956797617702501
